time_utc,symbol,mint,rank,score,reason,entry,exit,mult,pnl_sol,pnl_usd,dry_run
2026-07-02T07:59:07+00:00,DVD,BLTqsax5GfK7uRXPY3Zkk853EQ6Pb5bRaomrbeHyXMsm,S,89,stop-loss,7.439980e-05,6.683135e-05,0.898,-0.00264,-0.21,True
2026-07-02T08:22:36+00:00,Cat,57mTrYr4ZmtWE14e7eBxswakRuAHpHQygQrTh2Qmpump,S,81,trailing-stop,5.525072e-05,5.627295e-05,1.019,-0.00204,-0.16,True
2026-07-02T08:30:42+00:00,Lolcat,y5kdEYtzx9P2P4aKvofn83jr9C2FsymjVVFCTCLeLoL,S,89,stop-loss,7.945209e-05,6.800985e-05,0.856,-0.00623,-0.49,True
2026-07-02T08:30:58+00:00,Frogman,2BZdHvkQ7p5upCJUpYCATfHhkWDANcpf5nrbu1VTpump,S,80,trailing-stop,6.784194e-05,7.834602e-05,1.155,+0.00147,+0.11,True
2026-07-02T08:33:03+00:00,Biran,Fzbhevgh4mhxEfnPxX9bUd6yLKYGPEPvFhq2kDtypump,S,83,trailing-stop,5.996634e-05,7.308049e-05,1.219,+0.00311,+0.24,True
2026-07-02T08:35:35+00:00,Bepe,4JBFrVdm7NtcNn8rPAvMLi72FLV1EUWCLCqvpTmrpump,S,92,trailing-stop,8.840995e-05,1.358203e-04,1.536,+0.01069,+0.84,True
2026-07-02T08:36:23+00:00,r/MSB,EJQyAzADjGP13nthDosfQg1afn6asnUooC7XrBrMpump,S,92,stop-loss,8.970582e-05,7.963730e-05,0.888,-0.00541,-0.42,True
2026-07-02T08:38:55+00:00,Trainrot,7kFF9SRr4A4fSnuUWGt5u4EfL9pCJ3TLRk1zqr6epump,S,88,stop-loss,7.593053e-05,5.666257e-05,0.746,-0.00905,-0.71,True
2026-07-02T08:45:49+00:00,Rexie,97mpcm9xgCcfngvcGCrcmaMcKbu51eiy9zyFWU7npump,S,99,trailing-stop,1.124035e-04,1.554539e-04,1.383,+0.00878,+0.69,True
2026-07-02T08:46:39+00:00,Aspen,GCFNxh8j7neoYPgD9DcajEFCT4rYHsZccoML4Cajpump,S,81,stop-loss,5.807156e-05,4.180905e-05,0.720,-0.00973,-0.76,True
2026-07-02T08:52:44+00:00,Pizza,DAgebrEQWg3ZkZfWda8HCEtTQDjMBMmHQuFJBp5upump,S,89,trailing-stop,7.773726e-05,9.088678e-05,1.169,+0.00183,+0.14,True
2026-07-02T08:53:10+00:00,SKY,HuYnZ2F78viWvLVQCv7HFD9KKDYf9TeXVe7guCjLpump,S,84,stop-loss,6.280237e-05,4.737430e-05,0.754,-0.00884,-0.69,True
2026-07-02T08:54:41+00:00,coin,BpgZ48e8eeFSK8xot6eKH6DW72zDgzXZiqBH5dHQpump,S,100,stop-loss,1.298633e-04,1.113699e-04,0.858,-0.00619,-0.49,True
2026-07-02T08:55:52+00:00,DIGITAL,J3u8mTJHTMGmWK1ech8QrNxL87wmzwzCrL5T5i9cpump,S,100,stop-loss,1.373613e-04,1.222250e-04,0.890,-0.00536,-0.42,True
2026-07-02T08:56:06+00:00,DIGITIZE,FgGd2T3L4U7iv4BWXU7xXh89oCoKpv8qx5eRQrXFpump,S,85,stop-loss,7.679859e-05,6.891791e-05,0.897,-0.00516,-0.41,True
2026-07-02T09:01:34+00:00,Elon,CmnuBR9p72D97fWZFzQCetywU9UccLGgQTWWYTUxpump,S,93,stop-loss,9.211041e-05,8.135458e-05,0.883,-0.00553,-0.43,True
2026-07-02T09:12:43+00:00,Kitty,B7YhLNxptbGxkGrgrMKRMRutPK5VxFqK6J71PLSwpump,S,86,trailing-stop,6.796159e-05,6.827196e-05,1.005,-0.00240,-0.19,True
2026-07-02T09:15:05+00:00,NMC,56DrRaA5x9ZtvqjRdF8c3qSQMbyfYp44FmdtieqEpump,S,81,stop-loss,6.694664e-05,5.908797e-05,0.883,-0.00554,-0.43,True
2026-07-02T09:18:32+00:00,COC,9JvneZdE62e9YgExLWu2ArZBRebFw1tqrJRRj665pump,S,85,stop-loss,7.624520e-05,6.746501e-05,0.885,-0.00548,-0.43,True
2026-07-02T09:27:45+00:00,TR,4PjkSU6YXn93ihd7NyT1roia9rr8HdKorCwAL676pump,S,83,trailing-stop,6.885704e-05,9.724093e-05,1.412,+0.00845,+0.66,True
2026-07-02T09:29:34+00:00,Siren Head,5SsDyUcM6nf15cmVp1Uf9DZ5D7gNf3KMN6fksUZPzNK5,S,94,stop-loss,9.390644e-05,8.336524e-05,0.888,-0.00541,-0.43,True
2026-07-02T09:31:59+00:00,bob,DzrfFXxoa2nGGSNiPSxybj8kz3mcvLRXYRvDCASupump,S,83,stop-loss,6.070537e-05,5.351066e-05,0.881,-0.00557,-0.44,True
2026-07-02T09:38:08+00:00,MBAPPE ,6PssAXCnsENtzEsu99827B8rqkZQfvS53DCc5dGepump,S,92,stop-loss,8.681236e-05,7.687364e-05,0.886,-0.00547,-0.44,True
2026-07-02T09:40:44+00:00,2,6vcXuUzpXptWB7uCfKsyps2RWKJPrJ2fvLmVrjs9voXk,S,93,stop-loss,9.024266e-05,7.585587e-05,0.841,-0.00662,-0.53,True
2026-07-02T09:41:16+00:00,RXTN,41dPTDun2CHuRVYUU8WKgTULjwhCUnebfjmQjAqVpump,S,82,stop-loss,6.389084e-05,5.148933e-05,0.806,-0.00752,-0.60,True
2026-07-02T09:41:19+00:00,Dawnstead,fQvFvuFtNdUQZ7rUJ3EJMoCM2AY5ovu4Viyvf9ppump,S,95,stop-loss,9.752833e-05,8.486399e-05,0.870,-0.00586,-0.47,True
2026-07-02T09:45:10+00:00,Nostalgia,BjTPQG5edP4X1DMQuxK1upbTVEwqDdJV4ZZdxKrSpump,S,92,trailing-stop,8.672312e-05,9.624260e-05,1.110,+0.00439,+0.35,True
2026-07-02T09:49:27+00:00,Descent,EJBFznJLLJkirqp5qP1hkpGxCf4pCJu1iqmnni2jpump,S,91,stop-loss,8.415858e-05,7.163503e-05,0.851,-0.00635,-0.50,True
2026-07-02T09:51:08+00:00,Selfiecat,FdAH8ciaXqwPP8PkpHfT2WwEHjH3PyrAidxTwQ6npump,S,89,trailing-stop,7.813693e-05,1.003705e-04,1.285,+0.00739,+0.59,True
2026-07-02T09:51:54+00:00,SNEZHNAYA,4FqX5HxAP5rfEeqqCTmJuzEJdjiBouiBDuCEqtQ7pwMT,S,88,stop-loss,7.535330e-05,6.532284e-05,0.867,-0.00595,-0.47,True
2026-07-02T10:02:51+00:00,蛋堡,8TwAP8eXUrVWSVzqU8pvtraCPc2XK5wWsaYVGSBBpump,S,89,trailing-stop,7.915048e-05,9.512443e-05,1.202,+0.00267,+0.21,True
2026-07-02T10:07:35+00:00,DATA,4EpTWrYnAet8T43p7EN3VfJQnWa9U9nERzhuhqQUpump,S,95,stop-loss,9.725677e-05,8.431945e-05,0.867,-0.00594,-0.47,True
2026-07-02T10:08:56+00:00,League,9vMHPGSVPUW4reyaiE4mvNrZr2eAkJcq4hv1PudRpump,S,89,stop-loss,7.908721e-05,6.803082e-05,0.860,-0.00612,-0.49,True
2026-07-02T10:09:19+00:00,10B,9LCiH6qzv13rAuUSGySTsubD2Day9LhPqdkeSn1spump,S,90,stop-loss,8.029031e-05,6.180746e-05,0.770,-0.00845,-0.67,True
2026-07-02T10:11:44+00:00,10B,92aBmp1ahMVqsfhEHohA7HLzHTKsiCQ4ERSBqpTppump,S,86,trailing-stop,6.977409e-05,7.084973e-05,1.015,-0.00212,-0.17,True
2026-07-02T10:14:05+00:00,10B,CRKzKKeUxnPpYoV5ujGuW55MSYHbxqB6kpE9kHxVpump,S,98,graduated,2.045098e-04,4.108802e-04,2.009,+0.01594,+1.27,True
2026-07-02T10:17:06+00:00,scuba,FoEkHkrMMDg2Ljr93za3HuX3ALEM4MRR1bPgdGu4pump,S,89,trailing-stop,7.982623e-05,8.469423e-05,1.061,-0.00095,-0.08,True
2026-07-02T10:17:09+00:00,WITNESS,JAVmEt2dsnXGjdzMQna2pxixMYYsMjaEuQZDqEfipump,S,99,stop-loss,1.127792e-04,8.745156e-05,0.775,-0.00830,-0.66,True
2026-07-02T10:19:17+00:00,TOBY,CKwuKvSdAjaVqfK52qximpmF2TMRF9q37xnDBKAqpump,S,100,stop-loss,1.206878e-04,6.870795e-05,0.569,-0.01361,-1.08,True
2026-07-02T10:19:19+00:00,TOBY,E6XYP8a3QjRuqL6NYe1W1dkJGuGBVUw4x2Fbx57fpump,S,87,stop-loss,8.536366e-05,6.979579e-05,0.818,-0.00721,-0.57,True
2026-07-02T10:23:45+00:00,Tucker,8FHuFtCyGskCBbdvMY25wS6hA1k47TiUFsvpNQnppump,S,92,trailing-stop,8.905384e-05,9.756732e-05,1.096,-0.00006,-0.00,True
2026-07-02T10:25:32+00:00,DATA,DND6dU9oHyt3J9zhoaQyAaZpprB8kKArXe55MRWrpump,S,80,stop-loss,7.374110e-05,5.807996e-05,0.788,-0.00799,,True
2026-07-02T10:28:56+00:00,DRENAM,HSg9EKAceM5sv5LPefsUBfeLEGMwYi4nAnBcaFo4pump,S,95,stop-loss,9.935391e-05,7.982660e-05,0.803,-0.00758,-0.61,True
2026-07-02T10:29:45+00:00,DRENAM,55rWFZggsVJNLkVrvLSt5LcHJpUgxe6N9LkfE77Spump,S,98,stop-loss,1.105376e-04,8.485094e-05,0.768,-0.00850,-0.68,True
2026-07-02T10:34:33+00:00,woolly,4bq78mgb8VZe5ofwo3HWok5rm4jbHGfqJx8HJi2Jpump,S,84,stop-loss,6.919912e-05,5.992161e-05,0.866,-0.00597,-0.48,True
2026-07-02T10:39:36+00:00,solana,B8gZUGVaFomDwtzxFpcqq27dkAcYDweMFXbHTdLWpump,S,87,stop-loss,7.278209e-05,6.465886e-05,0.888,-0.00539,,True
2026-07-02T10:43:26+00:00,ANSEM,GL9A7kDnjiXkfE53PcCwSBbyaXdak2axMPSrp4hgpump,S,100,trailing-stop,1.377682e-04,1.430695e-04,1.038,-0.00153,-0.12,True
2026-07-02T10:44:04+00:00,ANSEM,DyPFXctY2gMJhJcjtXRVQLQvQooa7t7Go4gqJ6jxpump,S,91,trailing-stop,8.601395e-05,9.261688e-05,1.077,-0.00054,-0.04,True
2026-07-02T10:48:10+00:00,NIGEL,4vmRTf4o2G7t7BDPuV7W91L5vpVfpSd6LZi2MWTNpump,S,92,stop-loss,8.733461e-05,6.912573e-05,0.792,-0.00789,-0.64,True
2026-07-02T11:05:41+00:00,TOOLROOT,AQCWtM5hjkNCZBiFPdVGbTa7vphchynqHibDcx1tpump,S,80,stop-loss,6.552353e-05,5.871267e-05,0.896,-0.00520,-0.42,True
